District,Projects_Completed,Area_Flooded_sqkm,Pop_Exposed,FloodMitigation_Done,Drainage_Done,SlopeProtection_Done,Revetment_Done,Dike_Done
Manila_1st,111,2.72,80085,87,19,0,0,0
Manila_1st,111,0.91,33575,87,19,0,0,0
Manila_1st,111,0.23,3285,87,19,0,0,0
Manila_1st,167,0.32,10143,134,24,0,4,0
Manila_1st,189,0.35,4402,145,30,3,4,0
Manila_1st,197,0.12,1116,147,35,3,4,0
Manila_1st,198,0.24,2756,148,35,3,4,0
Manila_1st,204,0.22,3285,149,38,3,5,0
Manila_1st,206,0.34,4217,151,38,3,5,0
Manila_1st,207,0.12,1116,151,38,3,5,0
Manila_1st,209,0.26,3621,153,38,3,5,0
Manila_1st,215,0.03,297,158,39,3,5,0
Manila_1st,215,0.29,4440,158,39,3,5,0
Manila_1st,215,0.12,649,158,39,3,5,0
Manila_1st,215,0.09,3713,158,39,3,5,0
Manila_1st,215,0.07,3416,158,39,3,5,0
Manila_1st,215,0.02,297,158,39,3,5,0
Manila_1st,215,0.46,13572,158,39,3,5,0
Manila_1st,215,0.42,4743,158,39,3,5,0
Manila_1st,215,0.26,3447,158,39,3,5,0
Manila_1st,215,0.1,1212,158,39,3,5,0
Manila_1st,215,0.16,1315,158,39,3,5,0
Manila_1st,215,0.25,5028,158,39,3,5,0
Manila_1st,215,0.48,5101,158,39,3,5,0
Manila_1st,215,0.41,6248,158,39,3,5,0
NCR_4th,190,2.5,24195,64,58,34,22,0
NCR_4th,190,2.7,25081,64,58,34,22,0
NCR_4th,190,2.69,26953,64,58,34,22,0
NCR_4th,190,3.84,31213,64,58,34,22,0
NCR_4th,190,7.11,111645,64,58,34,22,0
NCR_4th,190,4.8,66530,64,58,34,22,0
NCR_4th,235,2.96,28427,76,67,49,30,0
NCR_4th,252,4.65,49020,77,68,60,34,0
NCR_4th,260,2.61,19432,78,68,65,36,0
NCR_4th,272,3.86,43615,82,70,68,39,0
NCR_4th,283,3.56,28973,84,74,69,43,0
NCR_4th,286,4.82,61905,84,75,69,44,0
NCR_4th,286,5.8,80767,84,75,69,44,0
NCR_4th,287,6.22,88767,84,75,69,45,0
NCR_4th,288,6.13,89618,84,75,70,45,0
NCR_4th,296,5.22,68178,84,78,74,46,0
NCR_4th,297,5.5,75456,85,78,74,46,0
NCR_4th,297,4.63,59257,85,78,74,46,0
NCR_4th,297,8.62,103272,85,78,74,46,0
NCR_4th,297,8.48,95421,85,78,74,46,0
NCR_4th,297,5.85,70473,85,78,74,46,0
NCR_4th,297,3.89,39484,85,78,74,46,0
NCR_4th,297,2.74,14919,85,78,74,46,0
NCR_4th,297,0.15,270,85,78,74,46,0
NCR_4th,297,3.96,13256,85,78,74,46,0
NCR_4th,297,3.44,24506,85,78,74,46,0
NCR_4th,297,3.41,23065,85,78,74,46,0
NCR_4th,297,0.73,0,85,78,74,46,0
NCR_4th,297,2.77,19636,85,78,74,46,0
NCR_4th,297,1.48,1234,85,78,74,46,0
NCR_4th,297,3.58,22069,85,78,74,46,0
NCR_4th,297,3.12,14032,85,78,74,46,0
NCR_4th,297,9.74,114773,85,78,74,46,0
NCR_4th,297,4.68,45427,85,78,74,46,0
NCR_4th,297,2.54,14297,85,78,74,46,0
NCR_4th,297,2.65,9606,85,78,74,46,0
NCR_4th,297,4.37,30818,85,78,74,46,0
NCR_4th,297,5.28,35046,85,78,74,46,0
NCR_4th,297,5.26,39429,85,78,74,46,0
NCR_4th,297,3.56,19257,85,78,74,46,0
NCR_4th,297,7.8,68903,85,78,74,46,0
NCR_2nd,78,0.6,961,16,38,8,1,0
NCR_2nd,78,1.85,5258,16,38,8,1,0
NCR_2nd,78,0.96,2311,16,38,8,1,0
NCR_2nd,78,4.8,52268,16,38,8,1,0
NCR_2nd,107,1.6,585,26,48,11,1,0
NCR_2nd,112,0.62,855,26,51,11,1,0
NCR_2nd,123,1.54,1332,26,59,11,1,0
NCR_2nd,127,3.33,4254,26,61,11,1,0
NCR_2nd,131,0.96,688,27,63,12,1,0
NCR_2nd,133,1.4,2878,27,63,14,1,0
NCR_2nd,133,2.09,4093,27,63,14,1,0
NCR_2nd,133,3.74,6296,27,63,14,1,0
NCR_2nd,133,3.98,5724,27,63,14,1,0
NCR_2nd,138,2.85,4542,28,66,15,1,0
NCR_2nd,141,4.22,6362,28,66,18,1,0
NCR_2nd,141,1.52,1603,28,66,18,1,0
NCR_2nd,141,3.02,21296,28,66,18,1,0
NCR_2nd,141,1.81,886,28,66,18,1,0
NCR_2nd,141,2.13,4663,28,66,18,1,0
NCR_2nd,141,2.89,8530,28,66,18,1,0
NCR_2nd,141,1.0,560,28,66,18,1,0
NCR_2nd,141,3.57,19955,28,66,18,1,0
NCR_2nd,141,1.36,246,28,66,18,1,0
NCR_2nd,141,2.25,22336,28,66,18,1,0
NCR_2nd,141,2.85,8558,28,66,18,1,0
NCR_2nd,141,3.29,12995,28,66,18,1,0
NCR_2nd,141,2.21,4450,28,66,18,1,0
NCR_2nd,141,3.02,4909,28,66,18,1,0
NCR_2nd,141,4.93,25624,28,66,18,1,0
NCR_2nd,141,3.09,6750,28,66,18,1,0
NCR_2nd,141,4.01,11200,28,66,18,1,0
NCR_2nd,141,5.69,20816,28,66,18,1,0
NCR_2nd,141,5.5,26232,28,66,18,1,0
NCR_2nd,141,4.7,13587,28,66,18,1,0
NCR_2nd,141,5.11,25832,28,66,18,1,0
NCR_2nd,141,4.37,10502,28,66,18,1,0
NCR_2nd,141,4.49,8549,28,66,18,1,0
NCR_3rd,276,2.21,32059,170,40,4,1,8
NCR_3rd,277,1.01,62919,171,40,4,1,8
NCR_3rd,277,1.76,31301,171,40,4,1,8
NCR_3rd,341,0.16,408,203,63,4,2,8
NCR_3rd,349,1.01,62919,206,66,4,4,8
NCR_3rd,373,0.92,8863,217,74,4,7,8
NCR_3rd,393,0.16,1567,230,78,4,9,8
NCR_3rd,397,0.19,4887,233,78,4,9,8
NCR_3rd,397,0.28,3205,233,78,4,9,8
NCR_3rd,400,0.03,205,234,80,4,9,8
NCR_3rd,404,0.01,838,236,81,4,10,8
NCR_3rd,404,0.03,391,236,81,4,10,8
NCR_3rd,404,0.16,614,236,81,4,10,8
NCR_3rd,404,0.32,5777,236,81,4,10,8
NCR_3rd,404,0.16,862,236,81,4,10,8
NCR_3rd,404,0.12,734,236,81,4,10,8
NCR_3rd,404,0.33,5757,236,81,4,10,8
NCR_3rd,404,0.21,3342,236,81,4,10,8
NCR_3rd,404,0.12,734,236,81,4,10,8
