District,Projects_Completed,Flooding_Pct,Pop_Exposed,FloodMitigation_Done,Drainage_Done,Rehabilitation_Done,SlopeProtection_Done,Revetment_Done
Manila_1st,111,6.3806,80085,87,19,20,0,0
Manila_1st,111,2.1371,33575,87,19,20,0,0
Manila_1st,111,0.5624,3285,87,19,20,0,0
Manila_1st,167,0.8752,10143,134,24,24,0,4
Manila_1st,189,0.8558,4402,145,30,29,3,4
Manila_1st,197,0.2934,1116,147,35,30,3,4
Manila_1st,198,0.5869,2756,148,35,30,3,4
Manila_1st,204,0.538,3285,149,38,31,3,5
Manila_1st,206,0.8041,4217,151,38,31,3,5
Manila_1st,207,0.2934,1116,151,38,31,3,5
Manila_1st,209,0.6358,3621,153,38,31,3,5
Manila_1st,215,0.0814,297,158,39,32,3,5
Manila_1st,215,0.7091,4440,158,39,32,3,5
Manila_1st,215,0.2934,649,158,39,32,3,5
Manila_1st,215,0.2178,3713,158,39,32,3,5
Manila_1st,215,0.1694,3416,158,39,32,3,5
Manila_1st,215,0.0547,297,158,39,32,3,5
Manila_1st,215,1.1248,13572,158,39,32,3,5
Manila_1st,215,0.9903,4743,158,39,32,3,5
Manila_1st,215,0.6149,3447,158,39,32,3,5
Manila_1st,215,0.2445,1212,158,39,32,3,5
Manila_1st,215,0.3884,1315,158,39,32,3,5
Manila_1st,215,0.6051,5028,158,39,32,3,5
Manila_1st,215,1.1653,5101,158,39,32,3,5
Manila_1st,215,0.9923,6248,158,39,32,3,5
NCR_4th,190,1.1846,24195,64,58,53,34,22
NCR_4th,190,1.2855,25081,64,58,53,34,22
NCR_4th,190,1.2815,26953,64,58,53,34,22
NCR_4th,190,1.8283,31213,64,58,53,34,22
NCR_4th,190,3.3691,111645,64,58,53,34,22
NCR_4th,190,2.2867,66530,64,58,53,34,22
NCR_4th,235,1.4093,28427,76,67,58,49,30
NCR_4th,252,2.214,49020,77,68,58,60,34
NCR_4th,260,1.2434,19432,78,68,58,65,36
NCR_4th,272,1.8378,43615,82,70,59,68,39
NCR_4th,283,1.696,28973,84,74,61,69,43
NCR_4th,286,2.2949,61905,84,75,62,69,44
NCR_4th,286,2.7615,80767,84,75,62,69,44
NCR_4th,287,2.9474,88767,84,75,62,69,45
NCR_4th,288,2.9186,89618,84,75,62,70,45
NCR_4th,296,2.4868,68178,84,78,64,74,46
NCR_4th,297,2.6187,75456,85,78,64,74,46
NCR_4th,297,2.1952,59257,85,78,64,74,46
NCR_4th,297,4.087,103272,85,78,64,74,46
NCR_4th,297,4.0206,95421,85,78,64,74,46
NCR_4th,297,2.7869,70473,85,78,64,74,46
NCR_4th,297,1.8443,39484,85,78,64,74,46
NCR_4th,297,1.3053,14919,85,78,64,74,46
NCR_4th,297,0.0953,270,85,78,64,74,46
NCR_4th,297,1.8775,13256,85,78,64,74,46
NCR_4th,297,1.631,24506,85,78,64,74,46
NCR_4th,297,1.6168,23065,85,78,64,74,46
NCR_4th,297,14.0416,0,85,78,64,74,46
NCR_4th,297,1.3177,19636,85,78,64,74,46
NCR_4th,297,0.7051,1234,85,78,64,74,46
NCR_4th,297,1.6974,22069,85,78,64,74,46
NCR_4th,297,1.4863,14032,85,78,64,74,46
NCR_4th,297,4.618,114773,85,78,64,74,46
NCR_4th,297,2.2189,45427,85,78,64,74,46
NCR_4th,297,1.2043,14297,85,78,64,74,46
NCR_4th,297,1.2624,9606,85,78,64,74,46
NCR_4th,297,2.0818,30818,85,78,64,74,46
NCR_4th,297,2.5034,35046,85,78,64,74,46
NCR_4th,297,2.4939,39429,85,78,64,74,46
NCR_4th,297,1.6879,19257,85,78,64,74,46
NCR_4th,297,3.6982,68903,85,78,64,74,46
NCR_2nd,78,0.2509,961,16,38,41,8,1
NCR_2nd,78,0.764,5258,16,38,41,8,1
NCR_2nd,78,0.3964,2311,16,38,41,8,1
NCR_2nd,78,1.9657,52268,16,38,41,8,1
NCR_2nd,107,0.6552,585,26,48,55,11,1
NCR_2nd,112,0.2593,855,26,51,59,11,1
NCR_2nd,123,0.644,1332,26,59,67,11,1
NCR_2nd,127,1.3637,4254,26,61,71,11,1
NCR_2nd,131,0.4014,688,27,63,72,12,1
NCR_2nd,133,0.5854,2878,27,63,72,14,1
NCR_2nd,133,0.8631,4093,27,63,72,14,1
NCR_2nd,133,1.5316,6296,27,63,72,14,1
NCR_2nd,133,1.6299,5724,27,63,72,14,1
NCR_2nd,138,1.1671,4542,28,66,75,15,1
NCR_2nd,141,1.7282,6362,28,66,76,18,1
NCR_2nd,141,0.6356,1603,28,66,76,18,1
NCR_2nd,141,1.2367,21296,28,66,76,18,1
NCR_2nd,141,0.7569,886,28,66,76,18,1
NCR_2nd,141,0.8796,4663,28,66,76,18,1
NCR_2nd,141,4.8796,8530,28,66,76,18,1
NCR_2nd,141,1.6885,560,28,66,76,18,1
NCR_2nd,141,1.4743,19955,28,66,76,18,1
NCR_2nd,141,2.2963,246,28,66,76,18,1
NCR_2nd,141,0.9409,22336,28,66,76,18,1
NCR_2nd,141,1.1769,8558,28,66,76,18,1
NCR_2nd,141,1.3587,12995,28,66,76,18,1
NCR_2nd,141,0.9127,4450,28,66,76,18,1
NCR_2nd,141,1.2472,4909,28,66,76,18,1
NCR_2nd,141,2.0189,25624,28,66,76,18,1
NCR_2nd,141,1.2654,6750,28,66,76,18,1
NCR_2nd,141,1.6422,11200,28,66,76,18,1
NCR_2nd,141,2.3301,20816,28,66,76,18,1
NCR_2nd,141,2.2523,26232,28,66,76,18,1
NCR_2nd,141,1.9247,13587,28,66,76,18,1
